========================================= DAILY STATISTICS =========================================
| Code  | Description                                  | Quantity  | Unit price  | Into money      |
----------------------------------------------------------------------------------------------------
| 1     | Tra sua truyen thong                         | 0         | 18000       | 0               |
| 2     | Tra sua Kem trung                            | 0         | 23000       | 0               |
| 3     | Tra sua Rainbow                              | 5         | 23000       | 115000          |
| 4     | Tra sua Pho mai vien                         | 0         | 32000       | 0               |
| 5     | Tra sua Cookie Kem sua                       | 0         | 29000       | 0               |
| 6     | Tac xi muoi                                  | 7         | 22000       | 154000          |
| 7     | Tra Xoai nha dam                             | 0         | 27000       | 0               |
| 8     | Tra Lai canh mat ong                         | 0         | 25000       | 0               |
| 9     | Sua tuoi Suong sao                           | 9         | 26000       | 234000          |
| 10    | O long Sua tuoi                              | 0         | 27000       | 0               |
| 11    | Tra Xoai Kem sua                             | 0         | 28000       | 0               |
| 12    | Tra Dao                                      | 0         | 26000       | 0               |
| 13    | Matcha Oreo Kem sua                          | 0         | 33000       | 0               |
| 14    | Chanh Tuyet xay                              | 0         | 28000       | 0               |
| 15    | Tac xay                                      | 0         | 28000       | 0               |
| 16    | Matcha Da xay                                | 0         | 32000       | 0               |
| 17    | Cacao Banh Brulee trung                      | 0         | 40000       | 0               |
| 18    | Soda Blue Ocean                              | 0         | 22000       | 0               |
| 19    | Tra gung nong                                | 0         | 22000       | 0               |
| 20    | Yaourt Vai tuoi                              | 0         | 29000       | 0               |
| 21    | Tra Chanh                                    | 0         | 21000       | 0               |
----------------------------------------------------------------------------------------------------

================= STAFF REVENUE ==================
- Nguyen Anh Khoa     : 503000 VND
  Login: 10:59:01 | Logout: 11:00:51

--------------------------------------------------
TOTAL DAILY REVENUE: 503000 VND
==================================================
